audit_category,check_id,check,page_template_scope,evidence_url_or_screenshot,result_pass_partial_fail_na,severity,revenue_risk,affected_url_count,owner,effort,dependency,recommended_fix,validation_method,rollback_requirement,due_date,status,reviewer_notes
Migrations & Replatforms,TSA-074,"Canonical tags on the new environment point to the new URLs, not leftover legacy or staging URLs.",Site-wide migration,Crawl of new environment pre-launch,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,Dev access to new environment,Fix canonical generation logic before go-live.,Crawl staging/new environment and confirm canonical targets,No,[Set date],[Not started],[Reviewer notes]
Migrations & Replatforms,TSA-075,"A rollback plan and rollback trigger criteria (e.g., X% indexation or traffic drop) are documented before cutover.",Site-wide migration,Migration runbook document,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],S,Stakeholder sign-off,Document explicit numeric rollback triggers and the rollback procedure before go-live.,Confirm runbook is reviewed and signed off pre-launch,Yes — this is the rollback plan itself,[Set date],[Not started],[Reviewer notes]
Migrations & Replatforms,TSA-076,Search Console properties (and any verification methods) are set up for the new domain/subdomain before or immediately at cutover.,Site-wide migration,Search Console property list,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],S,Search Console access,Verify the new property and submit a Change of Address if the domain changed.,Confirm new property shows crawl/index activity within 1–2 weeks,No,[Set date],[Not started],[Reviewer notes]
Migrations & Replatforms,TSA-077,"Post-migration monitoring (daily for the first 1–2 weeks) tracks index coverage, crawl errors, and organic traffic against baseline.",Site-wide migration,Search Console + analytics dashboards,[Fill: Pass/Partial/Fail/N/A],High,High,[Count],[Assign owner],S,Analytics/Search Console access,Set up a daily monitoring cadence with a named owner for the first two weeks.,Confirm daily checks occurred and are logged,No,[Set date],[Not started],[Reviewer notes]
Migrations & Replatforms,TSA-078,"Internal links across the migrated site point to new final-destination URLs, not through the redirect layer.",Site-wide migration,Post-migration crawl of internal links,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Dev/content access post-launch,Update internal links to point directly at new URLs instead of relying on redirects.,"Re-crawl and confirm internal links resolve with a single 200, not a redirect hop",No,[Set date],[Not started],[Reviewer notes]
Migrations & Replatforms,TSA-079,Any URL-structure change preserves or improves click depth to revenue pages rather than burying them deeper.,Site-wide migration,"Click-depth comparison, old vs. new IA",[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,IA/navigation planning access,Adjust the new IA so priority pages are not pushed deeper than before.,Compare click-depth reports old vs. new,No,[Set date],[Not started],[Reviewer notes]
Migrations & Replatforms,TSA-080,A defined re-audit (using this same workbook) is scheduled 30 and 90 days after a major migration.,Site-wide migration,Calendar/scheduling record,[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],S,None,Schedule the two follow-up audits at migration sign-off.,Confirm both scheduled audits occur and are logged,No,[Set date],[Not started],[Reviewer notes]
Ecommerce & Faceted Navigation,TSA-081,"Faceted/filter combinations that have no independent search demand are excluded from indexation (noindex or parameter handling), not crawled and indexed by default.",Category/listing templates,Crawler URL-parameter + index-status report,[Fill: Pass/Partial/Fail/N/A],High,High,[Count],[Assign owner],M,Dev access to facet logic,"Apply noindex, canonical-to-parent, or crawl controls to low-value facet combinations.",Re-crawl and confirm facet-combination index count drops to intended set,No,[Set date],[Not started],[Reviewer notes]
Ecommerce & Faceted Navigation,TSA-082,"High-demand facet combinations (with real independent search volume) are made indexable and linked to, not accidentally blocked.",Category/listing templates,Keyword research + facet index-status cross-check,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,SEO/content access to identify demand,Identify high-demand facets and deliberately make them indexable with real internal links.,Confirm target facet URLs are indexed and receiving impressions,No,[Set date],[Not started],[Reviewer notes]
Ecommerce & Faceted Navigation,TSA-083,Out-of-stock products return an accurate status (not a silent 404) and either redirect to a relevant category or remain live with clear messaging.,Product templates,Crawler status-code report on OOS product set,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Ecommerce platform access,Set an explicit out-of-stock handling policy per product lifecycle stage.,Sample OOS products and confirm consistent handling,No,[Set date],[Not started],[Reviewer notes]
Ecommerce & Faceted Navigation,TSA-084,Product variant URLs (size/color) have a clear canonical strategy (self-canonical vs. canonical to parent) applied consistently.,Product templates,Crawler canonical report on variant URLs,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Dev/ecommerce platform access,Standardize the variant canonical strategy across the catalog.,Re-crawl and confirm consistent canonical pattern,No,[Set date],[Not started],[Reviewer notes]
Ecommerce & Faceted Navigation,TSA-085,Pagination and 'load more'/infinite-scroll on category pages have a crawlable fallback (paginated URLs) for full catalog discovery.,Category/listing templates,Rendered HTML + crawler pagination report,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],M,Dev access to listing templates,Add real paginated URLs behind or alongside the infinite-scroll UI.,Confirm crawler reaches deep catalog pages via paginated URLs,No,[Set date],[Not started],[Reviewer notes]
Ecommerce & Faceted Navigation,TSA-086,Merchant feed / product structured data matches live price and availability (see also Structured Data section).,Product templates,Merchant Center diagnostics,[Fill: Pass/Partial/Fail/N/A],Critical,High,[Count],[Assign owner],M,Ecommerce platform/feed access,Sync feed and schema generation to the live product-data source.,Merchant Center diagnostics show no price/availability mismatch,No,[Set date],[Not started],[Reviewer notes]
Ecommerce & Faceted Navigation,TSA-087,"Seasonal or discontinued category pages are handled deliberately (kept with a clear message, merged, or redirected) rather than left as thin or empty pages.",Category templates,Crawler thin-content report on seasonal set,[Fill: Pass/Partial/Fail/N/A],Low,Medium,[Count],[Assign owner],M,Content/ecommerce platform access,Apply a documented seasonal-page policy per category type.,Spot-check seasonal pages against the documented policy,No,[Set date],[Not started],[Reviewer notes]
Ecommerce & Faceted Navigation,TSA-088,Internal site search result pages are excluded from indexation unless deliberately optimized as landing pages.,Site search templates,Crawler index-status report,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],S,Dev access to search templates,Apply noindex to internal search result pages by default.,Re-crawl and confirm search result pages are excluded,No,[Set date],[Not started],[Reviewer notes]
Prioritization & Governance,TSA-089,"Every finding is scored for revenue risk (High/Medium/Low) and affected URL count, not just technical severity.",Site-wide,"This workbook, columns populated",[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],S,Baseline traffic/revenue data by template,Cross-reference findings against traffic/revenue data per affected template.,Spot-check 10 rows for revenue-risk justification,No,[Set date],[Not started],[Reviewer notes]
Prioritization & Governance,TSA-090,"A single ranked backlog exists (crawl/index blockers first, then architecture, then rendering/performance polish) rather than a flat, unordered list.",Site-wide,Prioritized backlog document,[Fill: Pass/Partial/Fail/N/A],High,Medium,[Count],[Assign owner],S,This workbook completed,Sequence the backlog using this workbook's severity and revenue-risk columns.,Confirm backlog ordering matches the stated sequencing rule,No,[Set date],[Not started],[Reviewer notes]
Prioritization & Governance,TSA-091,Each backlog item has a named owner (not a team name only) and an effort estimate before work begins.,Site-wide,Backlog/ticketing system,[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],S,Team capacity planning,Assign a specific individual owner and effort size to each item.,Confirm 100% of open items have a named owner,No,[Set date],[Not started],[Reviewer notes]
Prioritization & Governance,TSA-092,"Dependencies between fixes are documented so sequencing doesn't create rework (e.g., fixing canonicals before sitemap regeneration).",Site-wide,"Backlog/ticketing system, dependency field",[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],S,This workbook's dependency column,Map dependency chains before assigning sprint order.,Spot-check that dependent items are sequenced correctly,No,[Set date],[Not started],[Reviewer notes]
Prioritization & Governance,TSA-093,"A rollback plan exists for every fix classified as needing one in this workbook, not only for full migrations.",Site-wide,"Backlog/ticketing system, rollback field",[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],S,Dev/release process access,Require a rollback note before a flagged fix is marked ready for release.,Spot-check rollback notes exist for flagged items,No,[Set date],[Not started],[Reviewer notes]
Prioritization & Governance,TSA-094,"Stakeholders (dev, content, SEO, leadership) formally sign off on the prioritized roadmap before work starts.",Site-wide,"Sign-off record (email, ticket, or document)",[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],S,Stakeholder availability,Circulate the roadmap for explicit sign-off before kickoff.,Confirm sign-off record exists,No,[Set date],[Not started],[Reviewer notes]
Monitoring,TSA-095,"Index coverage, crawl stats, and Core Web Vitals reports are reviewed on a fixed recurring cadence with a named owner.",Site-wide,Monitoring calendar/dashboard,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],S,Search Console/CWV access,"Assign a named owner and a fixed review cadence (e.g., monthly).",Confirm reviews occurred on schedule for the last quarter,No,[Set date],[Not started],[Reviewer notes]
Monitoring,TSA-096,"Alerting exists for sudden indexation drops, spikes in 404/5xx errors, or CWV regressions, not manual-only monitoring.",Site-wide,Alerting/monitoring tool configuration,[Fill: Pass/Partial/Fail/N/A],Medium,Medium,[Count],[Assign owner],M,Monitoring tool access,Configure automated alerts for the listed regression types.,Trigger a test condition and confirm the alert fires,No,[Set date],[Not started],[Reviewer notes]
Monitoring,TSA-097,A full re-audit using this workbook is scheduled at a fixed interval (this article recommends twice yearly) independent of any single migration.,Site-wide,Audit calendar/scheduling record,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],S,None,Add the recurring audit to a shared calendar with an owner.,Confirm the next scheduled audit date exists,No,[Set date],[Not started],[Reviewer notes]
Monitoring,TSA-098,"Tool-reported scores (crawler health score, PSI score, etc.) are treated as proxies and cross-checked against real index coverage and traffic, not reported as outcomes on their own.",Site-wide,Reporting template/dashboard,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],S,None,Pair every tool score in reporting with a real outcome metric.,Review the next stakeholder report for paired metrics,No,[Set date],[Not started],[Reviewer notes]
Monitoring,TSA-099,Findings and fixes from this workbook are logged with dates so regression (a previously fixed issue reappearing) can be detected.,Site-wide,Workbook version history / changelog,[Fill: Pass/Partial/Fail/N/A],Low,Low,[Count],[Assign owner],S,None,Keep dated workbook versions rather than overwriting in place.,Confirm a prior-period workbook snapshot exists for comparison,No,[Set date],[Not started],[Reviewer notes]
Monitoring,TSA-100,"Re-verification against current Google Search Central and web.dev documentation happens at each recurring audit, since thresholds and guidance change over time.",Site-wide,Documentation review note in workbook,[Fill: Pass/Partial/Fail/N/A],Medium,Low,[Count],[Assign owner],S,None,Add a documentation-currency check as the first step of every re-audit.,Confirm the workbook cites documentation accessed within the last 6 months,No,[Set date],[Not started],[Reviewer notes]
