articleId,liveUrl,issue,affectedField,recommendedOwner,recommendedNextSprint,severity,blockingStatus
TC-040,https://taskcover.com/insights/content-authority/data-led-digital-pr-from-research-question-to-earned-coverage,Metadata length warning(s): metaDescription too-long (162 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-022,https://taskcover.com/insights/local-international-seo/local-seo-for-multi-location-businesses-architecture-reviews-listings-and-l,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-022,https://taskcover.com/insights/local-international-seo/local-seo-for-multi-location-businesses-architecture-reviews-listings-and-l,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-022,https://taskcover.com/insights/local-international-seo/local-seo-for-multi-location-businesses-architecture-reviews-listings-and-l,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-022,https://taskcover.com/insights/local-international-seo/local-seo-for-multi-location-businesses-architecture-reviews-listings-and-l,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-023,https://taskcover.com/insights/local-international-seo/international-seo-architecture-hreflang-country-pages-localization-and-cano,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-023,https://taskcover.com/insights/local-international-seo/international-seo-architecture-hreflang-country-pages-localization-and-cano,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-023,https://taskcover.com/insights/local-international-seo/international-seo-architecture-hreflang-country-pages-localization-and-cano,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-023,https://taskcover.com/insights/local-international-seo/international-seo-architecture-hreflang-country-pages-localization-and-cano,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-023,https://taskcover.com/insights/local-international-seo/international-seo-architecture-hreflang-country-pages-localization-and-cano,Metadata length warning(s): metaDescription too-long (164 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-024,https://taskcover.com/insights/local-international-seo/franchise-seo-how-to-scale-local-visibility-without-duplicate-or-doorway-pa,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-024,https://taskcover.com/insights/local-international-seo/franchise-seo-how-to-scale-local-visibility-without-duplicate-or-doorway-pa,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-024,https://taskcover.com/insights/local-international-seo/franchise-seo-how-to-scale-local-visibility-without-duplicate-or-doorway-pa,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-024,https://taskcover.com/insights/local-international-seo/franchise-seo-how-to-scale-local-visibility-without-duplicate-or-doorway-pa,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-024,https://taskcover.com/insights/local-international-seo/franchise-seo-how-to-scale-local-visibility-without-duplicate-or-doorway-pa,Metadata length warning(s): metaDescription too-long (162 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-044,https://taskcover.com/insights/local-international-seo/local-landing-pages-that-rank-without-becoming-doorway-pages,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-044,https://taskcover.com/insights/local-international-seo/local-landing-pages-that-rank-without-becoming-doorway-pages,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-044,https://taskcover.com/insights/local-international-seo/local-landing-pages-that-rank-without-becoming-doorway-pages,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-044,https://taskcover.com/insights/local-international-seo/local-landing-pages-that-rank-without-becoming-doorway-pages,Metadata length warning(s): metaDescription too-long (165 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-045,https://taskcover.com/insights/local-international-seo/google-business-profile-reviews-and-local-entity-consistency-a-governance-g,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-045,https://taskcover.com/insights/local-international-seo/google-business-profile-reviews-and-local-entity-consistency-a-governance-g,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-045,https://taskcover.com/insights/local-international-seo/google-business-profile-reviews-and-local-entity-consistency-a-governance-g,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-045,https://taskcover.com/insights/local-international-seo/google-business-profile-reviews-and-local-entity-consistency-a-governance-g,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-046,https://taskcover.com/insights/local-international-seo/international-seo-url-structure-cctld-vs-subfolder-vs-subdomain-vs-one-glob,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-046,https://taskcover.com/insights/local-international-seo/international-seo-url-structure-cctld-vs-subfolder-vs-subdomain-vs-one-glob,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-046,https://taskcover.com/insights/local-international-seo/international-seo-url-structure-cctld-vs-subfolder-vs-subdomain-vs-one-glob,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-046,https://taskcover.com/insights/local-international-seo/international-seo-url-structure-cctld-vs-subfolder-vs-subdomain-vs-one-glob,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-047,https://taskcover.com/insights/local-international-seo/seo-localization-for-usa-canada-and-australia-language-trust-offers-and-con,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-047,https://taskcover.com/insights/local-international-seo/seo-localization-for-usa-canada-and-australia-language-trust-offers-and-con,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-047,https://taskcover.com/insights/local-international-seo/seo-localization-for-usa-canada-and-australia-language-trust-offers-and-con,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-047,https://taskcover.com/insights/local-international-seo/seo-localization-for-usa-canada-and-australia-language-trust-offers-and-con,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-047,https://taskcover.com/insights/local-international-seo/seo-localization-for-usa-canada-and-australia-language-trust-offers-and-con,Metadata length warning(s): metaDescription too-long (167 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-025,https://taskcover.com/insights/local-international-seo/travel-seo-strategy-win-discovery-across-google-ai-search-and-destination-r,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-025,https://taskcover.com/insights/local-international-seo/travel-seo-strategy-win-discovery-across-google-ai-search-and-destination-r,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-025,https://taskcover.com/insights/local-international-seo/travel-seo-strategy-win-discovery-across-google-ai-search-and-destination-r,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-025,https://taskcover.com/insights/local-international-seo/travel-seo-strategy-win-discovery-across-google-ai-search-and-destination-r,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-025,https://taskcover.com/insights/local-international-seo/travel-seo-strategy-win-discovery-across-google-ai-search-and-destination-r,Metadata length warning(s): metaTitle too-short (19 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-026,https://taskcover.com/insights/local-international-seo/education-seo-strategy-increase-program-discovery-and-qualified-student-enq,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-026,https://taskcover.com/insights/local-international-seo/education-seo-strategy-increase-program-discovery-and-qualified-student-enq,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-026,https://taskcover.com/insights/local-international-seo/education-seo-strategy-increase-program-discovery-and-qualified-student-enq,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-026,https://taskcover.com/insights/local-international-seo/education-seo-strategy-increase-program-discovery-and-qualified-student-enq,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-026,https://taskcover.com/insights/local-international-seo/education-seo-strategy-increase-program-discovery-and-qualified-student-enq,Metadata length warning(s): metaTitle too-short (22 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-027,https://taskcover.com/insights/local-international-seo/healthcare-seo-strategy-build-trust-local-visibility-and-patient-demand,Healthcare (YMYL) — requires qualified medical reviewer.,whole article,Editorial lead / subject-matter reviewer,S01 (content quality),blocking,blocked
TC-027,https://taskcover.com/insights/local-international-seo/healthcare-seo-strategy-build-trust-local-visibility-and-patient-demand,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-027,https://taskcover.com/insights/local-international-seo/healthcare-seo-strategy-build-trust-local-visibility-and-patient-demand,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-027,https://taskcover.com/insights/local-international-seo/healthcare-seo-strategy-build-trust-local-visibility-and-patient-demand,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-027,https://taskcover.com/insights/local-international-seo/healthcare-seo-strategy-build-trust-local-visibility-and-patient-demand,Metadata length warning(s): metaTitle too-short (23 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-028,https://taskcover.com/insights/technical-seo/law-firm-and-immigration-seo-strategy-build-qualified-demand-without-thin-l,Legal/immigration (YMYL) — requires qualified legal reviewer.,whole article,Editorial lead / subject-matter reviewer,S01 (content quality),blocking,blocked
TC-028,https://taskcover.com/insights/technical-seo/law-firm-and-immigration-seo-strategy-build-qualified-demand-without-thin-l,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-028,https://taskcover.com/insights/technical-seo/law-firm-and-immigration-seo-strategy-build-qualified-demand-without-thin-l,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-028,https://taskcover.com/insights/technical-seo/law-firm-and-immigration-seo-strategy-build-qualified-demand-without-thin-l,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-028,https://taskcover.com/insights/technical-seo/law-firm-and-immigration-seo-strategy-build-qualified-demand-without-thin-l,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-029,https://taskcover.com/insights/seo-guides/saas-seo-strategy-build-category-demand-comparison-visibility-and-product-l,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-029,https://taskcover.com/insights/seo-guides/saas-seo-strategy-build-category-demand-comparison-visibility-and-product-l,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-029,https://taskcover.com/insights/seo-guides/saas-seo-strategy-build-category-demand-comparison-visibility-and-product-l,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-029,https://taskcover.com/insights/seo-guides/saas-seo-strategy-build-category-demand-comparison-visibility-and-product-l,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-029,https://taskcover.com/insights/seo-guides/saas-seo-strategy-build-category-demand-comparison-visibility-and-product-l,Metadata length warning(s): metaTitle too-short (17 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-030,https://taskcover.com/insights/seo-guides/ecommerce-seo-strategy-category-architecture-product-discovery-and-ai-shopp,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-030,https://taskcover.com/insights/seo-guides/ecommerce-seo-strategy-category-architecture-product-discovery-and-ai-shopp,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-030,https://taskcover.com/insights/seo-guides/ecommerce-seo-strategy-category-architecture-product-discovery-and-ai-shopp,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-030,https://taskcover.com/insights/seo-guides/ecommerce-seo-strategy-category-architecture-product-discovery-and-ai-shopp,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-030,https://taskcover.com/insights/seo-guides/ecommerce-seo-strategy-category-architecture-product-discovery-and-ai-shopp,Metadata length warning(s): metaTitle too-short (22 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-048,https://taskcover.com/insights/seo-guides/faceted-navigation-seo-control-crawl-space-without-hiding-valuable-demand,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-048,https://taskcover.com/insights/seo-guides/faceted-navigation-seo-control-crawl-space-without-hiding-valuable-demand,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-048,https://taskcover.com/insights/seo-guides/faceted-navigation-seo-control-crawl-space-without-hiding-valuable-demand,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-048,https://taskcover.com/insights/seo-guides/faceted-navigation-seo-control-crawl-space-without-hiding-valuable-demand,Metadata length warning(s): metaTitle too-short (22 chars); metaDescription too-long (165 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-049,https://taskcover.com/insights/seo-guides/category-and-product-page-seo-architecture-content-variants-and-internal-li,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-049,https://taskcover.com/insights/seo-guides/category-and-product-page-seo-architecture-content-variants-and-internal-li,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-049,https://taskcover.com/insights/seo-guides/category-and-product-page-seo-architecture-content-variants-and-internal-li,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-049,https://taskcover.com/insights/seo-guides/category-and-product-page-seo-architecture-content-variants-and-internal-li,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-049,https://taskcover.com/insights/seo-guides/category-and-product-page-seo-architecture-content-variants-and-internal-li,Metadata length warning(s): metaTitle too-short (29 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-050,https://taskcover.com/insights/seo-guides/product-structured-data-merchant-feeds-and-ai-shopping-visibility,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-050,https://taskcover.com/insights/seo-guides/product-structured-data-merchant-feeds-and-ai-shopping-visibility,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-050,https://taskcover.com/insights/seo-guides/product-structured-data-merchant-feeds-and-ai-shopping-visibility,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-050,https://taskcover.com/insights/seo-guides/product-structured-data-merchant-feeds-and-ai-shopping-visibility,Metadata length warning(s): metaDescription too-long (169 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-051,https://taskcover.com/insights/seo-guides/saas-comparison-alternatives-integration-and-use-case-pages-a-commercial-se,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-051,https://taskcover.com/insights/seo-guides/saas-comparison-alternatives-integration-and-use-case-pages-a-commercial-se,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-051,https://taskcover.com/insights/seo-guides/saas-comparison-alternatives-integration-and-use-case-pages-a-commercial-se,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-051,https://taskcover.com/insights/seo-guides/saas-comparison-alternatives-integration-and-use-case-pages-a-commercial-se,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-052,https://taskcover.com/insights/seo-guides/product-led-seo-for-b2b-saas-from-organic-entry-page-to-activation-and-pipe,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-052,https://taskcover.com/insights/seo-guides/product-led-seo-for-b2b-saas-from-organic-entry-page-to-activation-and-pipe,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-052,https://taskcover.com/insights/seo-guides/product-led-seo-for-b2b-saas-from-organic-entry-page-to-activation-and-pipe,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-052,https://taskcover.com/insights/seo-guides/product-led-seo-for-b2b-saas-from-organic-entry-page-to-activation-and-pipe,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-052,https://taskcover.com/insights/seo-guides/product-led-seo-for-b2b-saas-from-organic-entry-page-to-activation-and-pipe,Metadata length warning(s): metaTitle too-short (28 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-053,https://taskcover.com/insights/ppc-search-intelligence/how-to-use-ppc-search-term-data-to-improve-seo-content-and-conversion,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-053,https://taskcover.com/insights/ppc-search-intelligence/how-to-use-ppc-search-term-data-to-improve-seo-content-and-conversion,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-053,https://taskcover.com/insights/ppc-search-intelligence/how-to-use-ppc-search-term-data-to-improve-seo-content-and-conversion,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-053,https://taskcover.com/insights/ppc-search-intelligence/how-to-use-ppc-search-term-data-to-improve-seo-content-and-conversion,Metadata length warning(s): metaDescription too-long (165 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-054,https://taskcover.com/insights/seo-mentor/how-to-build-an-in-house-seo-operating-system-roles-governance-training-and,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-054,https://taskcover.com/insights/seo-mentor/how-to-build-an-in-house-seo-operating-system-roles-governance-training-and,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-054,https://taskcover.com/insights/seo-mentor/how-to-build-an-in-house-seo-operating-system-roles-governance-training-and,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-054,https://taskcover.com/insights/seo-mentor/how-to-build-an-in-house-seo-operating-system-roles-governance-training-and,"Slug likely truncated (length=75, likely mid-word cut). Changing live slugs is out of scope for S00.",slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-054,https://taskcover.com/insights/seo-mentor/how-to-build-an-in-house-seo-operating-system-roles-governance-training-and,Metadata length warning(s): metaTitle too-short (29 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-055,https://taskcover.com/insights/seo-guides/seo-reporting-dashboard-what-founders-cmos-and-delivery-teams-need-to-see,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-055,https://taskcover.com/insights/seo-guides/seo-reporting-dashboard-what-founders-cmos-and-delivery-teams-need-to-see,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-055,https://taskcover.com/insights/seo-guides/seo-reporting-dashboard-what-founders-cmos-and-delivery-teams-need-to-see,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-055,https://taskcover.com/insights/seo-guides/seo-reporting-dashboard-what-founders-cmos-and-delivery-teams-need-to-see,Metadata length warning(s): metaTitle too-short (23 chars); metaDescription too-long (162 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-056,https://taskcover.com/insights/seo-guides/the-state-of-search-visibility-google-and-ai-search-benchmark-for-usa-canad,Benchmark article — requires real dataset/method review.,whole article,Editorial lead / subject-matter reviewer,S01 (content quality),blocking,blocked
TC-056,https://taskcover.com/insights/seo-guides/the-state-of-search-visibility-google-and-ai-search-benchmark-for-usa-canad,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-056,https://taskcover.com/insights/seo-guides/the-state-of-search-visibility-google-and-ai-search-benchmark-for-usa-canad,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-056,https://taskcover.com/insights/seo-guides/the-state-of-search-visibility-google-and-ai-search-benchmark-for-usa-canad,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-056,https://taskcover.com/insights/seo-guides/the-state-of-search-visibility-google-and-ai-search-benchmark-for-usa-canad,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-056,https://taskcover.com/insights/seo-guides/the-state-of-search-visibility-google-and-ai-search-benchmark-for-usa-canad,Metadata length warning(s): metaDescription too-long (167 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-015,https://taskcover.com/insights/seo-mentor/seo-consultant-vs-agency-vs-in-house-team-which-model-fits-your-growth-stag,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-015,https://taskcover.com/insights/seo-mentor/seo-consultant-vs-agency-vs-in-house-team-which-model-fits-your-growth-stag,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-015,https://taskcover.com/insights/seo-mentor/seo-consultant-vs-agency-vs-in-house-team-which-model-fits-your-growth-stag,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-015,https://taskcover.com/insights/seo-mentor/seo-consultant-vs-agency-vs-in-house-team-which-model-fits-your-growth-stag,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-015,https://taskcover.com/insights/seo-mentor/seo-consultant-vs-agency-vs-in-house-team-which-model-fits-your-growth-stag,Metadata length warning(s): metaDescription too-long (163 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
